Species	Ks
AP13K_AP13N	0.315833
AP13K_AP13N	0.0676306
AP13K_AP13N	0.097035
AP13K_AP13N	0.563107
AP13K_AP13N	0.373333
AP13K_AP13N	0.350238
AP13K_AP13N	0.150396
AP13K_AP13N	0.103448
AP13K_AP13N	0.161369
AP13K_AP13N	0.104133
AP13K_AP13N	0.220421
AP13K_AP13N	0.305816
AP13K_AP13N	0.174897
AP13K_AP13N	0.440223
AP13K_AP13N	0.246686
AP13K_AP13N	0.400148
AP13K_AP13N	0.248649
AP13K_AP13N	0.0164072
AP13K_AP13N	1.18329
AP13K_AP13N	0.158311
AP13K_AP13N	0.196078
AP13K_AP13N	0.120755
AP13K_AP13N	0.355401
AP13K_AP13N	0.674908
AP13K_AP13N	0.442153
AP13K_AP13N	0.405101
AP13K_AP13N	0.346774
AP13K_AP13N	0.504673
AP13K_AP13N	0.141226
AP13K_AP13N	0.759945
AP13K_AP13N	0
AP13K_AP13N	0.542125
AP13K_AP13N	0.326478
AP13K_AP13N	0.37859
AP13K_AP13N	0.370319
AP13K_AP13N	0.0809992
AP13K_AP13N	0.313218
AP13K_AP13N	0.208597
AP13K_AP13N	0.44435
AP13K_AP13N	0.1224
AP13K_AP13N	0.139334
AP13K_AP13N	0.547945
AP13K_AP13N	0.462777
AP13K_AP13N	0.12469
AP13K_AP13N	0.292818
AP13K_AP13N	0.131356
AP13K_AP13N	0.167341
AP13K_AP13N	0.354897
AP13K_AP13N	0.088647
AP13K_AP13N	0.152318
AP13K_AP13N	0.230061
AP13K_AP13N	0.122449
AP13K_AP13N	0.267493
AP13K_AP13N	0.270208
AP13K_AP13N	0.151026
AP13K_AP13N	0.0882029
AP13K_AP13N	0.383598
AP13K_AP13N	0.161798
AP13K_AP13N	0.0847599
AP13K_AP13N	0.0774468
AP13K_AP13N	0.092803
AP13K_AP13N	0.0283172
AP13K_AP13N	0.213514
AP13K_AP13N	0.128435
AP13K_AP13N	0.204456
AP13K_AP13N	0.156089
AP13K_AP13N	0
AP13K_AP13N	0.233108
AP13K_AP13N	0.178698
AP13K_AP13N	0.17301
AP13K_AP13N	0.843648
AP13K_AP13N	0.0636015
AP13K_AP13N	0.214934
AP13K_AP13N	0.461538
AP13K_AP13N	0.246996
